,gene,rowsums,rank,norm_rank
563,CCL23,51.0,653.0,0.5872302158273381
564,XCL1,70.0,781.5,0.7027877697841727
565,SOD2,83.0,830.5,0.7468525179856115
566,ANGPT1,114.0,932.0,0.8381294964028777
567,CCL16,32.0,464.5,0.4177158273381295
568,CCL4L2,38.0,532.5,0.47886690647482016
569,CCL25,55.0,682.0,0.6133093525179856
570,BTK,99.0,880.5,0.79181654676259
571,CXCL2,112.0,922.5,0.8295863309352518
572,MAP2K4,30.0,446.0,0.4010791366906475
573,ECE1,11.0,179.0,0.16097122302158273
574,FETUB,11.0,179.0,0.16097122302158273
575,IL11RA,55.0,682.0,0.6133093525179856
576,CA10,12.0,195.0,0.17535971223021582
577,HGFAC,21.0,342.5,0.30800359712230213
578,PROS1,29.0,439.0,0.3947841726618705
579,CA9,43.0,572.0,0.5143884892086331
580,GPC3,48.0,630.5,0.5669964028776978
581,GRN,44.0,586.0,0.5269784172661871
582,CTSC,37.0,524.5,0.4716726618705036
583,SKP1,53.0,670.0,0.6025179856115108
584,SOD1,89.0,850.0,0.7643884892086331
585,FCGR2A,128.0,973.0,0.875
586,CLEC7A,72.0,790.0,0.710431654676259
587,CD200R1,43.0,572.0,0.5143884892086331
588,C1QB,59.0,706.5,0.635341726618705
589,NCR3,68.0,772.5,0.6946942446043165
590,FCGR2B,112.0,922.5,0.8295863309352518
591,CD163,150.0,1005.0,0.9037769784172662
592,SLAMF6,46.0,614.5,0.5526079136690647
593,FCGR1A,125.0,966.0,0.8687050359712231
594,C1QC,52.0,661.5,0.5948741007194245
595,IL1R1,120.0,953.5,0.8574640287769785
596,CD48,96.0,866.0,0.7787769784172662
597,LTA,104.0,896.0,0.8057553956834532
598,CST7,24.0,375.0,0.33723021582733814
599,IL34,39.0,539.5,0.4851618705035971
600,CAMK2A,35.0,501.0,0.4505395683453237
601,MSR1,72.0,790.0,0.710431654676259
602,LY86,20.0,328.5,0.2954136690647482
603,AIMP1,20.0,328.5,0.2954136690647482
604,EIF5,14.0,233.0,0.20953237410071943
605,PSMD7,45.0,603.0,0.5422661870503597
606,PSMA2,54.0,675.0,0.6070143884892086
607,FOLH1,30.0,446.0,0.4010791366906475
608,PSMA6,60.0,714.0,0.6420863309352518
609,RPS3,67.0,768.5,0.6910971223021583
610,KPNB1,36.0,514.5,0.4626798561151079
611,PA2G4,42.0,562.0,0.5053956834532374
612,EEF1B2,35.0,501.0,0.4505395683453237
613,EIF4A3,26.0,401.0,0.3606115107913669
614,RAN,46.0,614.5,0.5526079136690647
615,PFDN5,20.0,328.5,0.2954136690647482
616,RPSA,67.0,768.5,0.6910971223021583
617,PSMA1,59.0,706.5,0.635341726618705
618,AIP,12.0,195.0,0.17535971223021582
619,RET,76.0,804.5,0.7234712230215827
620,STIP1,33.0,476.5,0.4285071942446043
621,CKM,9.0,139.0,0.125
622,EIF5A,35.0,501.0,0.4505395683453237
623,METAP2,20.0,328.5,0.2954136690647482
624,METAP1,14.0,233.0,0.20953237410071943
625,SIRT2,35.0,501.0,0.4505395683453237
626,PPA1,22.0,356.0,0.32014388489208634
627,ENTPD5,15.0,247.5,0.22257194244604317
