term_description,trimester,.y.,n,statistic,df,p,p_adj_bh,p_adj_by,method
Regulation of cell growth,Third,log2rfu,4890,57.55192332854131,2,3.18e-13,1.3420000000000001e-12,1.1370048621212655e-11,Kruskal-Wallis
Negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,Second,log2rfu,3348,57.47238317597112,2,3.31e-13,1.3946687598116168e-12,1.1816282868512996e-11,Kruskal-Wallis
Biomineral tissue development,Second,log2rfu,2976,57.29452800658146,2,3.62e-13,1.522896551724138e-12,1.2902688404009346e-11,Kruskal-Wallis
Regulation of glial cell differentiation,Third,log2rfu,1304,57.22231950629248,2,3.75e-13,1.5751173708920189e-12,1.3345127489686214e-11,Kruskal-Wallis
Bone mineralization,Second,log2rfu,1860,57.16548466788754,2,3.86e-13,1.6187875e-12,1.3715121149337764e-11,Kruskal-Wallis
Regulation of intracellular protein transport,Third,log2rfu,3586,56.727075795170094,2,4.81e-13,2.014046801872075e-12,1.7063941924503236e-11,Kruskal-Wallis
Regulation of protein dephosphorylation,Second,log2rfu,744,56.70176777646202,2,4.87e-13,2.032827371695179e-12,1.7223059653283245e-11,Kruskal-Wallis
Regulation of dephosphorylation,Second,log2rfu,744,56.70176777646202,2,4.87e-13,2.032827371695179e-12,1.7223059653283245e-11,Kruskal-Wallis
Urogenital system development,Third,log2rfu,3586,56.66302844193888,2,4.96e-13,2.0671801242236027e-12,1.7514112161867938e-11,Kruskal-Wallis
Response to abiotic stimulus,Third,log2rfu,6846,56.64635246206308,2,5e-13,2.0773993808049537e-12,1.760069446008151e-11,Kruskal-Wallis
Positive regulation of ion transport,Third,log2rfu,2608,56.647281814086455,2,5e-13,2.0773993808049537e-12,1.760069446008151e-11,Kruskal-Wallis
Hair cycle process,Second,log2rfu,2604,56.54,2,5.27e-13,2.1794576271186437e-12,1.8465379424896977e-11,Kruskal-Wallis
Hair follicle development,Second,log2rfu,2604,56.54,2,5.27e-13,2.1794576271186437e-12,1.8465379424896977e-11,Kruskal-Wallis
Hair cycle,Second,log2rfu,2604,56.54,2,5.27e-13,2.1794576271186437e-12,1.8465379424896977e-11,Kruskal-Wallis
Regulation of activated T cell proliferation,Second,log2rfu,372,56.51094076489812,2,5.36e-13,2.2132676923076927e-12,1.8751834033753792e-11,Kruskal-Wallis
Regulation of protein serine/threonine kinase activity,Third,log2rfu,4238,56.303784962503414,2,5.94e-13,2.448995391705069e-12,2.074902882027747e-11,Kruskal-Wallis
Positive regulation of cell activation,Second,log2rfu,9300,56.208434541233146,2,6.23e-13,2.56461963190184e-12,2.1728651199434e-11,Kruskal-Wallis
Regulation of cell migration,Second,log2rfu,19716,56.101026223404915,2,6.57e-13,2.700441041347626e-12,2.287939339704966e-11,Kruskal-Wallis
Positive regulation of phosphate metabolic process,Second,log2rfu,19716,55.98693412535067,2,6.96e-13,2.8563669724770645e-12,2.4200470459828766e-11,Kruskal-Wallis
Response to wounding,Second,log2rfu,7068,55.80669943337489,2,7.62e-13,3.122454961832061e-12,2.6454891753783335e-11,Kruskal-Wallis
Positive regulation of interleukin-8 production,Third,log2rfu,1630,55.642937861918654,2,8.27e-13,3.3836402439024394e-12,2.8667775029703853e-11,Kruskal-Wallis
Regulation of phosphate metabolic process,Second,log2rfu,25296,55.62287030943844,2,8.35e-13,3.4111719939117203e-12,2.890103683017524e-11,Kruskal-Wallis
Neuron projection development,Second,log2rfu,11532,55.501428923234926,2,8.87e-13,3.61809726443769e-12,3.0654204033482134e-11,Kruskal-Wallis
Negative regulation of angiogenesis,Second,log2rfu,1488,54.82248755609817,2,1.25e-12,5.091047040971168e-12,4.31337201108219e-11,Kruskal-Wallis
Cellular response to oxygen-containing compound,Third,log2rfu,14996,54.759606751998945,2,1.29e-12,5.245999999999999e-12,4.444655370110401e-11,Kruskal-Wallis
Positive regulation of signaling,Second,log2rfu,28272,54.53264490024594,2,1.44e-12,5.838308157099697e-12,4.9464864092284657e-11,Kruskal-Wallis
Positive regulation of cell communication,Second,log2rfu,28272,54.53264490024594,2,1.44e-12,5.838308157099697e-12,4.9464864092284657e-11,Kruskal-Wallis
Cellular component disassembly,Third,log2rfu,2608,54.52266488250825,2,1.45e-12,5.869984917043741e-12,4.973324434617904e-11,Kruskal-Wallis
Skeletal system development,Second,log2rfu,6696,54.26874566686456,2,1.64e-12,6.619187969924812e-12,5.6080841319665424e-11,Kruskal-Wallis
Astrocyte differentiation,Third,log2rfu,1956,54.26709336816293,2,1.64e-12,6.619187969924812e-12,5.6080841319665424e-11,Kruskal-Wallis
Regulation of cell death,Third,log2rfu,22494,54.20486035391514,2,1.7e-12,6.851051051051051e-12,5.804529326144599e-11,Kruskal-Wallis
Second-messenger-mediated signaling,Third,log2rfu,3260,53.99403818847895,2,1.89e-12,7.605337331334332e-12,6.443595770342403e-11,Kruskal-Wallis
Antibacterial humoral response,Third,log2rfu,978,53.94270295072329,2,1.93e-12,7.754670658682634e-12,6.570117915850426e-11,Kruskal-Wallis
oncostatin-M-mediated signaling pathway,Third,log2rfu,326,53.91825206096951,2,1.96e-12,7.863437967115097e-12,6.662270642025951e-11,Kruskal-Wallis
Regulation of cell shape,Second,log2rfu,2232,53.627251926674944,2,2.26e-12,9.053492537313434e-12,7.670540263862865e-11,Kruskal-Wallis
Blood circulation,Second,log2rfu,3348,53.58785661645379,2,2.31e-12,9.24e-12,7.828558067064452e-11,Kruskal-Wallis
Regulation of protein localization to cell periphery,Second,log2rfu,1860,53.551054893411674,2,2.35e-12,9.372065378900446e-12,7.940450002927113e-11,Kruskal-Wallis
Regulation of protein localization to plasma membrane,Second,log2rfu,1860,53.551054893411674,2,2.35e-12,9.372065378900446e-12,7.940450002927113e-11,Kruskal-Wallis
Response to monosaccharide,Second,log2rfu,744,53.48815535326776,2,2.43e-12,9.67673590504451e-12,8.198581053277968e-11,Kruskal-Wallis
Negative regulation of response to stimulus,Second,log2rfu,23064,53.35863634535053,2,2.59e-12,1.0298607407407409e-11,8.72545953450097e-11,Kruskal-Wallis
Antigen processing and presentation,Second,log2rfu,1116,53.350527794528716,2,2.6e-12,1.0323076923076923e-11,8.746191247086657e-11,Kruskal-Wallis
ERBB signaling pathway,Second,log2rfu,3720,53.09,2,2.97e-12,1.1774711964549485e-11,9.97608401920283e-11,Kruskal-Wallis
Killing of cells of another organism,Second,log2rfu,372,53.08,2,2.98e-12,1.179693215339233e-11,9.994909997408173e-11,Kruskal-Wallis
Positive regulation of receptor signaling pathway via JAK-STAT,Third,log2rfu,1304,53.05782803870534,2,3.01e-12,1.188064705882353e-11,1.0065837161720614e-10,Kruskal-Wallis
Negative regulation of epithelial cell proliferation,Second,log2rfu,1488,53.05685650270971,2,3.01e-12,1.188064705882353e-11,1.0065837161720614e-10,Kruskal-Wallis
Regulation of podosome assembly,Third,log2rfu,326,53.01624584625279,2,3.07e-12,1.2099676945668136e-11,1.0251409476394377e-10,Kruskal-Wallis
Homeostasis of number of cells,Second,log2rfu,2232,52.70639153929551,2,3.59e-12,1.4128387096774193e-11,1.1970227140807457e-10,Kruskal-Wallis
Biological process involved in interspecies interaction between organisms,Third,log2rfu,18582,52.50736788639915,2,3.96e-12,1.5561698389458272e-11,1.3184595180088465e-10,Kruskal-Wallis
Regulation of fibrinolysis,Third,log2rfu,326,52.38684628889996,2,4.21e-12,1.6423895348837208e-11,1.391508857421665e-10,Kruskal-Wallis
Positive regulation of wound healing,Third,log2rfu,326,52.38684628889996,2,4.21e-12,1.6423895348837208e-11,1.391508857421665e-10,Kruskal-Wallis
Positive regulation of blood coagulation,Third,log2rfu,326,52.38684628889996,2,4.21e-12,1.6423895348837208e-11,1.391508857421665e-10,Kruskal-Wallis
Negative regulation of fibrinolysis,Third,log2rfu,326,52.38684628889996,2,4.21e-12,1.6423895348837208e-11,1.391508857421665e-10,Kruskal-Wallis
Positive regulation of lipid transport,Second,log2rfu,744,52.38819395746259,2,4.21e-12,1.6423895348837208e-11,1.391508857421665e-10,Kruskal-Wallis
Response to hepatocyte growth factor,Second,log2rfu,1860,52.09452651311494,2,4.87e-12,1.89710885341074e-11,1.6073189197476236e-10,Kruskal-Wallis
Positive regulation of protein import into nucleus,Third,log2rfu,978,51.965376958924935,2,5.2e-12,2.0227246376811592e-11,1.7137464588494435e-10,Kruskal-Wallis
Cellular response to organonitrogen compound,Second,log2rfu,8928,51.961725098150055,2,5.21e-12,2.023681620839363e-11,1.7145572595229502e-10,Kruskal-Wallis
Regulation of transferase activity,Second,log2rfu,13392,51.50612794027256,2,6.54e-12,2.5366127167630056e-11,2.149136357882392e-10,Kruskal-Wallis
Immune response-regulating cell surface receptor signaling pathway,Second,log2rfu,7812,51.38129193677378,2,6.96e-12,2.6956190476190476e-11,2.2838539221829746e-10,Kruskal-Wallis
Transmembrane receptor protein tyrosine kinase signaling pathway,Third,log2rfu,13692,51.14792610691802,2,7.82e-12,3.024334293948127e-11,2.5623567786133417e-10,Kruskal-Wallis
Negative regulation of interleukin-10 production,Second,log2rfu,744,50.92390910840595,2,8.75e-12,3.3791366906474825e-11,2.862961883039158e-10,Kruskal-Wallis
Regulation of secretion,Third,log2rfu,5542,50.52039402551236,2,1.07e-11,4.126264367816091e-11,3.495963225487799e-10,Kruskal-Wallis
Tissue development,Second,log2rfu,20832,50.49176557546161,2,1.09e-11,4.197360114777618e-11,3.556198851397932e-10,Kruskal-Wallis
Regulation of lymphocyte apoptotic process,Second,log2rfu,1860,50.24091443562975,2,1.23e-11,4.7296848137535815e-11,4.0072091129202195e-10,Kruskal-Wallis
Regulation of carbohydrate metabolic process,Second,log2rfu,1860,50.163244173368184,2,1.28e-11,4.900884450784594e-11,4.1522574137381446e-10,Kruskal-Wallis
Regulation of glucose metabolic process,Second,log2rfu,1860,50.163244173368184,2,1.28e-11,4.900884450784594e-11,4.1522574137381446e-10,Kruskal-Wallis
Regulation of cellular carbohydrate metabolic process,Second,log2rfu,1860,50.163244173368184,2,1.28e-11,4.900884450784594e-11,4.1522574137381446e-10,Kruskal-Wallis
Cellular response to hydrogen peroxide,Third,log2rfu,1304,50.12520621399926,2,1.3e-11,4.9703703703703704e-11,4.21112911896765e-10,Kruskal-Wallis
Regulation of extracellular matrix organization,Second,log2rfu,744,50.05810211497965,2,1.35e-11,5.1541963015647226e-11,4.366875003879683e-10,Kruskal-Wallis
Positive regulation of cellular metabolic process,Second,log2rfu,31620,49.698995264217956,2,1.61e-11,6.138125000000001e-11,5.200505193225107e-10,Kruskal-Wallis
Positive regulation of secretion by cell,Third,log2rfu,1956,49.64982104903629,2,1.65e-11,6.281702127659576e-11,5.322150418439966e-10,Kruskal-Wallis
Renal system development,Third,log2rfu,3260,49.377079991072605,2,1.9e-11,7.213012729844413e-11,6.111200107582473e-10,Kruskal-Wallis
Kidney development,Third,log2rfu,3260,49.377079991072605,2,1.9e-11,7.213012729844413e-11,6.111200107582473e-10,Kruskal-Wallis
Regulation of cysteine-type endopeptidase activity involved in apoptotic process,Second,log2rfu,3348,49.36066786400988,2,1.91e-11,7.23052186177715e-11,6.126034659101881e-10,Kruskal-Wallis
Regulation of bone mineralization,Third,log2rfu,2282,49.36439602221617,2,1.91e-11,7.23052186177715e-11,6.126034659101881e-10,Kruskal-Wallis
Regulation of vascular permeability,Third,log2rfu,326,49.20365039543435,2,2.07e-11,7.82518309859155e-11,6.629859336876112e-10,Kruskal-Wallis
Cell-cell adhesion,Third,log2rfu,6194,49.02925008188322,2,2.26e-11,8.53142053445851e-11,7.228216563696372e-10,Kruskal-Wallis
Regulation of bone mineralization,Second,log2rfu,2604,48.926825117478984,2,2.38e-11,8.97179775280899e-11,7.601324640024191e-10,Kruskal-Wallis
Response to molecule of bacterial origin,Second,log2rfu,7068,48.84594151239435,2,2.47e-11,9.298008415147264e-11,7.877705496324054e-10,Kruskal-Wallis
Cell morphogenesis,Second,log2rfu,11532,48.84073654520762,2,2.48e-11,9.322577030812325e-11,7.898521171038482e-10,Kruskal-Wallis
Regulation of hormone secretion,Second,log2rfu,1488,48.70152887583208,2,2.66e-11,9.985230769230769e-11,8.459952260818366e-10,Kruskal-Wallis
Regulation of muscle adaptation,Second,log2rfu,2232,48.65,2,2.73e-11,1.0233687150837988e-10,8.670456071483392e-10,Kruskal-Wallis
Negative regulation of response to external stimulus,Second,log2rfu,9300,48.44920880556674,2,3.02e-11,1.1304993026499305e-10,9.578116272262823e-10,Kruskal-Wallis
System process,Second,log2rfu,9672,48.41078658094193,2,3.07e-11,1.1476155988857939e-10,9.723133500591322e-10,Kruskal-Wallis
Positive regulation of leukocyte differentiation,Second,log2rfu,1116,48.23531286033949,2,3.36e-11,1.2525333333333333e-10,1.0612045379798477e-9,Kruskal-Wallis
Positive regulation of lymphocyte differentiation,Second,log2rfu,1116,48.23531286033949,2,3.36e-11,1.2525333333333333e-10,1.0612045379798477e-9,Kruskal-Wallis
Sensory system development,Third,log2rfu,3912,48.20732431302895,2,3.4e-11,1.2639335180055402e-10,1.070863305044959e-9,Kruskal-Wallis
Visual system development,Third,log2rfu,3912,48.20732431302895,2,3.4e-11,1.2639335180055402e-10,1.070863305044959e-9,Kruskal-Wallis
Biological process involved in interspecies interaction between organisms,Second,log2rfu,21204,48.14724378335086,2,3.51e-11,1.3030207468879668e-10,1.103979824632266e-9,Kruskal-Wallis
Positive regulation of cell differentiation,Third,log2rfu,12714,48.043328057166946,2,3.69e-11,1.367950276243094e-10,1.1589911439854888e-9,Kruskal-Wallis
Ovulation cycle,Third,log2rfu,978,47.95935533723605,2,3.85e-11,1.4252965517241382e-10,1.2075775777012062e-9,Kruskal-Wallis
Positive regulation of cell population proliferation,Second,log2rfu,20088,47.895940536574926,2,3.98e-11,1.4713939393939394e-10,1.2466334300943902e-9,Kruskal-Wallis
Cellular response to biotic stimulus,Third,log2rfu,4890,47.86465766772744,2,4.04e-11,1.4915213204951856e-10,1.2636862841732908e-9,Kruskal-Wallis
Bone development,Third,log2rfu,1956,47.80058788072529,2,4.17e-11,1.5374010989010989e-10,1.3025577678696916e-9,Kruskal-Wallis
Lung development,Second,log2rfu,1860,47.74707409135226,2,4.28e-11,1.5757914951989023e-10,1.3350838984578918e-9,Kruskal-Wallis
Skeletal system development,Third,log2rfu,5868,47.66902986326386,2,4.45e-11,1.63613698630137e-10,1.3862114072437345e-9,Kruskal-Wallis
Positive regulation of leukocyte activation,Second,log2rfu,8928,47.66155367686588,2,4.47e-11,1.6412421340629273e-10,1.3905367260416022e-9,Kruskal-Wallis
Positive regulation of macromolecule metabolic process,Second,log2rfu,38688,47.562730077741435,2,4.7e-11,1.720982264665757e-10,1.4580962761173117e-9,Kruskal-Wallis
Regulation of anion transport,Second,log2rfu,1116,47.560276730609985,2,4.7e-11,1.720982264665757e-10,1.4580962761173117e-9,Kruskal-Wallis
T cell proliferation,Third,log2rfu,1630,47.555089803793635,2,4.72e-11,1.7259509536784742e-10,1.4623059807118183e-9,Kruskal-Wallis
Positive regulation of immune response,Second,log2rfu,12648,47.53577998311084,2,4.76e-11,1.7382095238095238e-10,1.472692011890401e-9,Kruskal-Wallis
Regulation of kinase activity,Second,log2rfu,11904,47.46708042675891,2,4.93e-11,1.797842391304348e-10,1.5232157527874561e-9,Kruskal-Wallis
Negative regulation of cellular catabolic process,Third,log2rfu,1630,47.463610554309525,2,4.94e-11,1.799044776119403e-10,1.5242344691666353e-9,Kruskal-Wallis
Astrocyte development,Third,log2rfu,1630,47.444993782950405,2,4.98e-11,1.8111544715447154e-10,1.534494366765285e-9,Kruskal-Wallis
Positive regulation of NIK/NF-kappaB signaling,Second,log2rfu,1860,47.25956163203773,2,5.47e-11,1.9866684709066307e-10,1.683197996157868e-9,Kruskal-Wallis
Response to nitrogen compound,Second,log2rfu,11904,47.088921007787576,2,5.95e-11,2.158081081081081e-10,1.8284267377355486e-9,Kruskal-Wallis
Negative regulation of protein metabolic process,Third,log2rfu,10432,47.03719014490707,2,6.11e-11,2.213122807017544e-10,1.875060649814017e-9,Kruskal-Wallis
Regulation of macrophage derived foam cell differentiation,Third,log2rfu,326,47.004114117943345,2,6.21e-11,2.2402741935483868e-10,1.898064568218564e-9,Kruskal-Wallis
Regulation of superoxide anion generation,Third,log2rfu,326,47.004114117943345,2,6.21e-11,2.2402741935483868e-10,1.898064568218564e-9,Kruskal-Wallis
Positive regulation of superoxide anion generation,Third,log2rfu,326,47.004114117943345,2,6.21e-11,2.2402741935483868e-10,1.898064568218564e-9,Kruskal-Wallis
Apoptotic signaling pathway,Second,log2rfu,4464,46.87439337309661,2,6.63e-11,2.3885798657718125e-10,2.0237160364735544e-9,Kruskal-Wallis
Positive regulation of phosphatidylinositol 3-kinase signaling,Second,log2rfu,2604,46.813819570449596,2,6.83e-11,2.454045515394913e-10,2.0791815818710154e-9,Kruskal-Wallis
Regulation of phosphatidylinositol 3-kinase signaling,Second,log2rfu,2604,46.813819570449596,2,6.83e-11,2.454045515394913e-10,2.0791815818710154e-9,Kruskal-Wallis
Regulation of B cell differentiation,Second,log2rfu,1116,46.66895678854735,2,7.34e-11,2.633764705882353e-10,2.2314480449117883e-9,Kruskal-Wallis
Regulation of protein serine/threonine kinase activity,Second,log2rfu,4836,46.64812007231012,2,7.42e-11,2.6589158878504673e-10,2.2527572969131613e-9,Kruskal-Wallis
Epithelial cell proliferation,Second,log2rfu,2976,46.642479387737694,2,7.44e-11,2.662528e-10,2.2558176464485905e-9,Kruskal-Wallis
Cellular response to interleukin-7,Second,log2rfu,372,46.463684407700384,2,8.14e-11,2.909155792276964e-10,2.4647721911230627e-9,Kruskal-Wallis
Response to bacterium,Second,log2rfu,11904,46.159460557559214,2,9.48e-11,3.3835531914893614e-10,2.8667037481142544e-9,Kruskal-Wallis
Opsonization,Third,log2rfu,1304,46.08793145990194,2,9.82e-11,3.5002496679946875e-10,2.9655744345367397e-9,Kruskal-Wallis
Maternal process involved in female pregnancy,Third,log2rfu,652,46.01159277624902,2,1.02e-10,3.630875331564986e-10,3.0762465765615137e-9,Kruskal-Wallis
Regulation of cation transmembrane transport,Third,log2rfu,4238,45.99299660628276,2,1.03e-10,3.6616158940397357e-10,3.1022914118805388e-9,Kruskal-Wallis
Regulation of transport,Third,log2rfu,18908,45.95433685214812,2,1.05e-10,3.7277777777777775e-10,3.1583468392257374e-9,Kruskal-Wallis
Neuron development,Second,log2rfu,13020,45.92654788491927,2,1.06e-10,3.753350923482849e-10,3.180013598544964e-9,Kruskal-Wallis
Positive regulation of apoptotic signaling pathway,Third,log2rfu,1956,45.939496236128434,2,1.06e-10,3.753350923482849e-10,3.180013598544964e-9,Kruskal-Wallis
Striated muscle tissue development,Third,log2rfu,1630,45.85,2,1.1e-10,3.884736842105263e-10,3.291329864035242e-9,Kruskal-Wallis
Cardiac muscle tissue development,Third,log2rfu,1630,45.85,2,1.1e-10,3.884736842105263e-10,3.291329864035242e-9,Kruskal-Wallis
Response to estrogen,Third,log2rfu,978,45.82502603385501,2,1.12e-10,3.9501708278580815e-10,3.3467685823280348e-9,Kruskal-Wallis
Response to lipopolysaccharide,Third,log2rfu,5868,45.696079128974816,2,1.19e-10,4.191548556430446e-10,3.551275028672719e-9,Kruskal-Wallis
Positive regulation of nucleocytoplasmic transport,Third,log2rfu,1630,45.59225135870747,2,1.26e-10,4.4322935779816517e-10,3.755245416180326e-9,Kruskal-Wallis
